Time,ActiveSources
0.1,5
0.2,5
0.30000000000000004,5
0.4,5
0.5,5
0.6,5
0.7,5
0.7999999999999999,5
0.8999999999999999,5
0.9999999999999999,5
1.0999999999999999,5
1.2,5
1.3,5
1.4000000000000001,5
1.5000000000000002,5
1.6000000000000003,5
1.7000000000000004,5
1.8000000000000005,5
1.9000000000000006,5
2.0000000000000004,5
2.1000000000000005,5
2.2000000000000006,5
2.3000000000000007,5
2.400000000000001,5
2.500000000000001,5
2.600000000000001,5
2.700000000000001,5
2.800000000000001,5
2.9000000000000012,5
3.0000000000000013,4
3.1000000000000014,4
3.2000000000000015,5
3.3000000000000016,5
3.4000000000000017,4
3.5000000000000018,4
3.600000000000002,5
3.700000000000002,6
3.800000000000002,7
3.900000000000002,7
4.000000000000002,7
4.100000000000001,6
4.200000000000001,6
4.300000000000001,7
4.4,7
4.5,8
4.6,7
4.699999999999999,6
4.799999999999999,5
4.899999999999999,4
4.999999999999998,4
5.099999999999998,4
5.1999999999999975,4
5.299999999999997,4
5.399999999999997,4
5.4999999999999964,4
5.599999999999996,3
5.699999999999996,2
5.799999999999995,2
5.899999999999995,3
5.999999999999995,3
6.099999999999994,5
6.199999999999994,5
6.299999999999994,5
6.399999999999993,4
6.499999999999993,4
6.5999999999999925,6
6.699999999999992,6
6.799999999999992,5
6.8999999999999915,5
6.999999999999991,5
7.099999999999991,6
7.19999999999999,5
7.29999999999999,5
7.39999999999999,6
7.499999999999989,7
7.599999999999989,7
7.699999999999989,7
7.799999999999988,7
7.899999999999988,5
7.999999999999988,5
8.099999999999987,5
8.199999999999987,4
8.299999999999986,4
8.399999999999986,4
8.499999999999986,3
8.599999999999985,2
8.699999999999985,3
8.799999999999985,1
8.899999999999984,1
8.999999999999984,1
9.099999999999984,2
9.199999999999983,2
9.299999999999983,2
9.399999999999983,3
9.499999999999982,4
9.599999999999982,4
9.699999999999982,5
9.799999999999981,5
9.89999999999998,7
9.99999999999998,7
10.09999999999998,7
10.19999999999998,7
10.29999999999998,7
10.399999999999979,6
10.499999999999979,5
10.599999999999978,5
10.699999999999978,4
10.799999999999978,5
10.899999999999977,5
10.999999999999977,4
11.099999999999977,3
11.199999999999976,3
11.299999999999976,3
11.399999999999975,3
11.499999999999975,3
11.599999999999975,5
11.699999999999974,5
11.799999999999974,5
11.899999999999974,5
11.999999999999973,5
12.099999999999973,5
12.199999999999973,5
12.299999999999972,4
12.399999999999972,4
12.499999999999972,4
12.599999999999971,4
12.69999999999997,5
12.79999999999997,5
12.89999999999997,5
12.99999999999997,5
13.09999999999997,6
13.199999999999969,6
13.299999999999969,6
13.399999999999968,7
13.499999999999968,7
13.599999999999968,7
13.699999999999967,7
13.799999999999967,7
13.899999999999967,6
13.999999999999966,6
14.099999999999966,6
14.199999999999966,6
14.299999999999965,6
14.399999999999965,6
14.499999999999964,5
14.599999999999964,5
14.699999999999964,4
14.799999999999963,4
14.899999999999963,3
14.999999999999963,4
15.099999999999962,4
15.199999999999962,5
15.299999999999962,5
15.399999999999961,6
15.499999999999961,6
15.59999999999996,7
15.69999999999996,7
15.79999999999996,6
15.89999999999996,6
15.99999999999996,6
16.09999999999996,6
16.19999999999996,7
16.29999999999996,7
16.399999999999963,7
16.499999999999964,6
16.599999999999966,6
16.699999999999967,6
16.79999999999997,6
16.89999999999997,5
16.99999999999997,6
17.099999999999973,4
17.199999999999974,4
17.299999999999976,4
17.399999999999977,4
17.49999999999998,4
17.59999999999998,3
17.69999999999998,3
17.799999999999983,3
17.899999999999984,3
17.999999999999986,3
18.099999999999987,5
18.19999999999999,5
18.29999999999999,5
18.39999999999999,5
18.499999999999993,5
18.599999999999994,6
18.699999999999996,6
18.799999999999997,7
18.9,7
19.0,8
19.1,8
19.200000000000003,8
19.300000000000004,8
19.400000000000006,7
19.500000000000007,7
19.60000000000001,7
19.70000000000001,7
19.80000000000001,7
19.900000000000013,7
20.000000000000014,7
20.100000000000016,6
20.200000000000017,6
20.30000000000002,6
20.40000000000002,6
20.50000000000002,6
20.600000000000023,5
20.700000000000024,6
20.800000000000026,6
20.900000000000027,6
21.00000000000003,6
21.10000000000003,6
21.20000000000003,7
21.300000000000033,6
21.400000000000034,6
21.500000000000036,6
21.600000000000037,6
21.70000000000004,6
21.80000000000004,5
21.90000000000004,4
22.000000000000043,4
22.100000000000044,5
22.200000000000045,5
22.300000000000047,6
22.40000000000005,6
22.50000000000005,6
22.60000000000005,6
22.700000000000053,6
22.800000000000054,5
22.900000000000055,6
23.000000000000057,6
23.10000000000006,6
23.20000000000006,5
23.30000000000006,5
23.400000000000063,6
23.500000000000064,7
23.600000000000065,7
23.700000000000067,7
23.800000000000068,7
23.90000000000007,4
24.00000000000007,4
24.100000000000072,4
24.200000000000074,5
24.300000000000075,5
24.400000000000077,5
24.500000000000078,4
24.60000000000008,4
24.70000000000008,3
24.800000000000082,3
24.900000000000084,2
25.000000000000085,2
25.100000000000087,3
25.200000000000088,3
25.30000000000009,5
25.40000000000009,5
25.500000000000092,4
25.600000000000094,4
25.700000000000095,4
25.800000000000097,5
25.900000000000098,5
26.0000000000001,6
26.1000000000001,6
26.200000000000102,6
26.300000000000104,6
26.400000000000105,6
26.500000000000107,6
26.600000000000108,6
26.70000000000011,6
26.80000000000011,5
26.900000000000112,5
27.000000000000114,6
27.100000000000115,6
27.200000000000117,5
27.300000000000118,5
27.40000000000012,5
27.50000000000012,4
27.600000000000122,3
27.700000000000124,3
27.800000000000125,4
27.900000000000126,4
28.000000000000128,4
28.10000000000013,4
28.20000000000013,4
28.300000000000132,5
28.400000000000134,5
28.500000000000135,5
